SampleID,Rocktype,Source,Publication1,Publication2,Project,Dlat,Dlong,Sample_type,Core,Depth_m_from,Depth_m_to,Description_Other_notes,,SiO2_pct,TiO2_pct,Al2O3_pct,Fe2O3T_pct,MgO_pct,MnO_pct,CaO_pct,Na2O_pct,K2O_pct,P2O5_pct,SO3_pct,LOI_pct,Cl_pct,Total_calc,Total_LOI,Total_LOI_SO3,aSiO2_pct,aTiO2_pct,aAl2O3_pct,aFe2O3T_pct,aMgO_pct,aMnO_pct,aCaO_pct,aNa2O_pct,aK2O_pct,aP2O5_pct,aTotal,FeOT_pct,Mg,Na20_K2O,K2O_Na2O,ASI,Eu_Eu,Au_ppb,Pt_ppb,Pd_ppb,Re_ppm,Ag_ppm,F_ppm,Bi_ppm,Sn_ppm,Mo_ppm,Be_ppm,Cs_ppm,Ba_ppm,Rb_ppm,Sr_ppm,Pb_ppm,Th_ppm,U_ppm,Nb_ppm,Ta_ppm,Zr_ppm,Hf_ppm,Y_ppm,Ga_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,Ni_ppm,V_ppm,Cd_ppm,Cr_ppm,Cu_ppm,Zn_ppm,Sb_ppm,As_ppm,Ge_ppm,Ti_ppm
2003969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.805208,121.818676,unknown,,,,komatiitic basalt,,52.65,0.61,12.82,10.37,10.22,0.14,9.06,2.74,0.32,0.07,,1.6,,99,100.6,100.6,53.18,0.62,12.95,10.47,10.32,0.14,9.15,2.77,0.32,0.07,100,9.33,66.15,3.06,0.116788,0.601312,0.999061,,,,,,467,,,1.9,0.4,0.4,119,8.6,138.8,2.5,2.5,0.7,2.6,0.2,61,1.9,13.2,13.3,7.7,16,,8.65,2.06,0.72,2.34,0.4,2.63,0.52,1.75,,1.59,0.25,32,180,214,,843,14,39,0.9,,1.4,3656.95
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.066103,121.943132,unknown,,,,basalt,,53.03,0.65,13.77,10.74,7.84,0.17,9.34,1.94,0.53,0.07,0.03,2.58,,98.08,100.66,100.69,54.07,0.66,14.04,10.95,7.99,0.17,9.52,1.98,0.54,0.07,100,9.66,59.14,2.47,0.273196,0.663928,0.932556,,,,,,729,0.1,1.4,1.3,0.4,0.1,163,15.3,107.4,8,2.7,0.7,2.8,0.1,65.3,1.6,18.3,14.4,8.8,16.7,2.12,9.13,2.14,0.677,2.27,0.38,2.72,0.51,1.67,,1.62,0.22,32,75,221,,363,101,74,4.1,4.1,1.7,3896.75
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.084775,121.942609,unknown,,,,high-Mg basalt,,54,0.71,14.28,10.53,6.98,0.16,8.57,1.97,0.5,0.09,0.02,2.91,,97.79,100.7,100.72,55.22,0.73,14.6,10.77,7.14,0.16,8.76,2.01,0.51,0.09,100,9.48,56.79,2.47,0.253807,0.737693,0.948236,,,,,,765,,1.7,1.8,0.4,0.1,234,13.8,115.8,5,3.3,0.8,3.4,0.1,76.4,1.8,21.4,15.2,9.8,18.9,2.43,10.29,2.33,0.76,2.55,0.43,3,0.59,1.99,,1.8,0.25,35,63,235,,215,69,69,0.9,6.2,1.6,4256.45
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.078677,121.9616,unknown,,,,high-Mg basalt,,55.42,0.88,17.72,8.33,4.29,0.11,7.78,3.48,0.13,0.1,0.02,2.26,,98.24,100.5,100.52,56.41,0.9,18.04,8.48,4.37,0.11,7.92,3.54,0.13,0.1,100,7.5,50.52,3.61,0.037356,0.885762,1.269033,,,,,,726,,1.2,1.1,0.9,,106,3.4,149.7,7,3.8,0.8,4.5,0.2,96.1,2.2,15.7,17.2,10.1,19.5,2.29,9.38,2.06,0.868,2.08,0.32,2.2,0.42,1.36,,1.21,0.17,32,61,260,,270,21,54,4.4,4.9,1.5,5275.6
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.079837,121.95666,unknown,,,,high-Mg basalt,,54.14,0.66,13.77,10.54,7.27,0.18,8.58,2.36,0.2,0.07,0.07,2.92,,97.77,100.69,100.76,55.37,0.68,14.08,10.78,7.44,0.18,8.78,2.41,0.2,0.07,100,9.48,57.76,2.56,0.084746,0.699245,0.876317,,,,,,696,,1.2,1.2,0.7,0.1,148,5.6,93.6,7,3.2,0.7,3,0.1,69.4,1.7,19.1,13.4,8.6,17,2.1,9.37,2.35,0.676,2.31,0.39,2.8,0.55,1.77,,1.75,0.24,32,83,225,,356,86,79,0.4,2.2,1.5,3956.7
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.143333,122.05925,unknown,,,,high-Mg basalt,,47.61,0.57,11.88,9.83,7.75,0.15,7.03,2.32,0.87,0.06,0.07,12.62,,88.07,100.69,100.76,54.06,0.65,13.49,11.16,8.8,0.17,7.98,2.63,0.99,0.07,100,8.85,60.99,3.19,0.375,0.677503,0.952101,,,,,,817,,0.9,0.8,0.4,2.4,100,47.6,90.6,7,2.5,0.6,2.5,,58.4,1.4,16.3,12.3,7.7,14.6,1.87,7.95,1.91,0.604,1.93,0.32,2.29,0.48,1.57,,1.41,0.2,35,101,225,,551,67,62,0.4,1.5,1.6,3417.15
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.128163,122.051471,unknown,,,,high-Mg basalt,,53.91,0.68,13.92,10.88,7.47,0.17,9.33,1.45,0.11,0.08,0.05,2.55,,98,100.55,100.6,55.01,0.69,14.2,11.1,7.62,0.17,9.52,1.48,0.11,0.08,100,9.79,57.65,1.56,0.075862,0.715263,0.90662,,,,,,726,0.4,1.1,1,0.6,0.8,44,5,110,10,3.3,0.7,3.1,0.1,71.8,1.8,19.8,14.5,10.2,19.2,2.43,10.25,2.39,0.728,2.48,0.41,2.98,0.61,1.88,,1.76,0.26,33,69,226,,309,94,73,0.7,2.4,1.7,4076.6
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.114056,122.03499,unknown,,,,basalt,,47.98,0.56,11.45,10.02,8.01,0.15,8.16,1.74,0.04,0.06,0.41,12.3,,88.17,100.47,100.88,54.42,0.64,12.99,11.36,9.08,0.17,9.25,1.97,0.05,0.07,100,9.02,61.32,1.78,0.022989,0.645572,1.103012,,,,,,1079,0.1,1.3,1.1,0.5,0.2,,2,85.7,7,2.4,0.5,2.4,,56.8,1.3,15.7,12.1,7.4,14.3,1.82,7.84,1.78,0.671,1.92,0.32,2.29,0.45,1.47,,1.4,0.19,34,178,209,,873,72,65,4.1,3.2,1.4,3357.2
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.029128,122.093703,unknown,,,,high-Mg basalt,,54.34,0.71,14.69,9.58,6.87,0.18,8.91,3.29,0.47,0.08,0.02,1.47,,99.12,100.59,100.61,54.82,0.72,14.82,9.67,6.93,0.18,8.99,3.32,0.47,0.08,100,8.62,58.71,3.76,0.142857,0.664268,0.959817,,,,,,693,,1.1,0.8,0.9,0.3,251,13.9,123.6,7,3.2,0.7,3.3,0.1,76.2,1.8,19.5,14.4,9.1,17.6,2.24,9.73,2.41,0.773,2.47,0.4,2.81,0.54,1.8,,1.78,0.24,33,79,232,,251,88,67,0.8,16.8,1.6,4256.45
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.063084,121.910979,unknown,,,,basalt,,52.5,0.68,14.28,11.29,7.28,0.16,9.63,2.81,0.2,0.07,0.02,0.97,,98.9,99.87,99.89,53.08,0.69,14.44,11.42,7.36,0.16,9.74,2.84,0.2,0.07,100,10.16,56.11,3.01,0.071174,0.639176,0.950804,,,,,,549,,0.7,,0.7,0.2,159,4.9,144.6,7,3.5,0.7,3,,62.2,1.7,18.4,12.9,9.3,19.3,2.41,9.62,2.53,0.782,2.43,0.41,2.86,0.57,1.84,,1.82,0.26,36,76,255,,246,40,93,2.4,1.8,1.5,4076.6
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.089182,121.982359,unknown,,,,basalt,,55.41,0.63,13.22,10.16,7.1,0.16,8.71,2.32,0.16,0.07,0.07,1.86,,97.94,99.8,99.87,56.58,0.64,13.5,10.37,7.25,0.16,8.89,2.37,0.16,0.07,100,9.14,58.08,2.48,0.068966,0.667008,0.859885,,,,,,655,,0.9,0.8,0.6,0.1,139,4.2,114.6,6,3.1,0.8,2.7,,58,1.7,15.8,12.2,9.2,17.5,2.2,8.72,2.38,0.667,2.3,0.39,2.46,0.5,1.64,,1.59,0.24,32,80,222,,382,84,71,0.3,2.2,1.4,3776.85
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.098935,121.984582,unknown,,,,basalt,,53.65,0.66,13.74,10.62,7.68,0.15,7.9,2.67,0.18,0.07,0.02,2.54,,97.32,99.86,99.88,55.13,0.68,14.12,10.91,7.89,0.15,8.12,2.74,0.18,0.07,100,9.56,58.91,2.85,0.067416,0.725253,0.926642,,,,,,503,,0.7,,0.6,,90,4.4,129.1,7,3.2,0.6,2.8,,56.3,1.6,17.3,13,8.8,17.8,2.28,9.11,2.51,0.756,2.41,0.42,2.73,0.53,1.72,,1.74,0.27,35,66,243,,327,101,73,0.3,1.6,1.8,3956.7
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.104027,121.969083,unknown,,,,vughy high-Mg basalt?,,53.63,0.74,15.08,9.75,6.79,0.16,8.97,2.42,0.15,0.08,0.02,2.11,,97.77,99.88,99.9,54.85,0.76,15.42,9.97,6.94,0.16,9.17,2.48,0.15,0.08,100,8.77,58,2.57,0.061983,0.73755,0.943862,,,,,,566,,1.4,0.5,0.9,0.1,115,4.4,149.5,7,3.9,0.9,3.4,,72.2,2.1,16.8,14,10.7,21.3,2.63,10.81,2.78,0.837,2.55,0.43,2.84,0.54,1.75,,1.67,0.24,34,68,247,,247,45,76,3.3,12,1.3,4436.3
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.098852,121.968468,unknown,,,,high-Mg basalt?,,53.21,0.67,13.94,11.03,7.21,0.15,10.05,1.32,0.31,0.07,0.02,1.87,,97.96,99.83,99.85,54.32,0.68,14.23,11.26,7.36,0.15,10.26,1.35,0.32,0.07,100,9.92,56.45,1.63,0.234848,0.671078,0.937631,,,,,,525,,1.1,1.9,0.5,0.2,175,10.1,140.1,9,3.5,0.8,2.9,,63.8,1.8,17.7,13.7,12.4,20.6,2.54,10.13,2.61,0.792,2.48,0.41,2.78,0.56,1.79,,1.75,0.26,35,81,234,,342,91,89,1.6,15.7,1.7,4016.65
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.098164,121.969335,unknown,,,,altered high-Mg basalt,,46.48,0.63,12.87,10.13,7.25,0.16,8.86,1.53,0.83,0.07,0.01,11.06,,88.81,99.87,99.88,52.34,0.71,14.49,11.41,8.16,0.18,9.98,1.72,0.93,0.08,100,9.12,58.66,2.36,0.542484,0.659389,0.811688,,,,,,527,,0.6,0.5,0.7,0.1,414,20.8,71.3,5,3.4,1,2.8,,57.9,1.7,17.1,11.9,10.8,19.5,2.39,9.68,2.61,0.665,2.3,0.4,2.64,0.52,1.75,,1.65,0.25,36,85,224,,369,26,74,0.2,14,1.4,3776.85
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.092791,121.968764,unknown,,,,spinifex-textured basalt,,53.62,0.66,13.73,10.9,7.64,0.17,9.55,1.78,0.58,0.07,0.02,1.14,,98.7,99.84,99.86,54.33,0.67,13.91,11.04,7.74,0.17,9.68,1.8,0.59,0.07,100,9.81,58.15,2.36,0.325843,0.656536,0.921012,,,,,,494,,0.9,0.1,0.6,0.5,375,17.5,137.9,9,3.5,0.8,2.9,,60.6,1.7,17.6,13.2,9.9,19.7,2.43,9.79,2.64,0.778,2.44,0.41,2.75,0.55,1.81,,1.7,0.26,34,87,234,,416,86,72,2.7,2.1,1.7,3956.7
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.093081,121.98367,unknown,,,,high-Mg basalt with py-carb veins,,54.17,0.74,14.7,9.71,6.36,0.17,10.01,3.01,0.47,0.09,0.19,0.27,,99.43,99.7,99.89,54.48,0.74,14.78,9.77,6.4,0.17,10.07,3.03,0.47,0.09,100,8.74,56.5,3.48,0.156146,0.621481,0.872549,,,,,,489,,1,0.5,0.6,0.3,98,13.9,128,8,4,0.9,3.4,,71.1,2,19.8,14.1,12,23.2,2.86,11.29,3.04,0.834,2.69,0.45,3.09,0.63,1.98,,1.89,0.28,35,56,245,,225,78,74,2,4.6,1.4,4436.3
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.08921,122.000863,unknown,,,,high-Mg basalt with py-carb veins,,48.07,0.64,12.97,9.51,5.72,0.15,8.97,1.97,0.33,0.07,0.14,11.35,,88.4,99.75,99.89,54.38,0.72,14.67,10.76,6.47,0.17,10.15,2.23,0.37,0.08,100,8.56,54.39,2.3,0.167513,0.651738,0.9654,,,,,,656,,0.7,0.3,0.6,0.2,97,8.4,264.9,11,3.5,0.8,3,,64.9,1.8,17.5,13.1,9.7,19.2,2.4,9.83,2.44,0.768,2.36,0.41,2.7,0.53,1.7,,1.77,0.25,36,59,237,,202,71,85,1.7,1.2,1.3,3836.8
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.062146,122.092919,unknown,,,,green high-Mg basalt,,52.96,0.66,13.56,11.17,7.59,0.16,9.95,1.56,0.35,0.07,0.03,1.8,,98.03,99.83,99.86,54.02,0.67,13.83,11.39,7.74,0.16,10.15,1.59,0.36,0.07,100,10.05,57.4,1.91,0.224359,0.644826,0.907868,,,,,,572,,0.9,0.9,0.6,,284,6.8,129.1,8,3.3,0.7,3,,62.5,1.7,17.9,14.3,10.5,19.4,2.39,9.85,2.53,0.739,2.37,0.41,2.66,0.55,1.75,,1.69,0.26,34,67,233,,428,98,80,0.6,3.9,1.7,3956.7
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.043689,122.084479,unknown,,,,basalt,,53.76,0.7,14.41,11.05,6.8,0.18,9.31,1.81,0.08,0.08,0.01,1.71,,98.18,99.89,99.9,54.76,0.71,14.68,11.25,6.93,0.18,9.48,1.84,0.08,0.08,100,9.94,54.96,1.89,0.044199,0.721049,0.938897,,,,,,643,,0.9,0.8,1.1,0.1,37,2.3,102.1,5,4.4,0.9,3.6,,76.4,2.1,22.4,16.1,11.9,22.1,2.82,11.42,3.17,0.955,2.95,0.49,3.33,0.67,2.17,,2.16,0.31,33,77,231,,297,54,70,5,2.4,1.7,4196.5
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.043657,122.116074,unknown,,,,basalt,,53.91,0.7,14.39,11.05,6.74,0.16,8.92,1.63,0.19,0.08,0.02,2.11,,97.77,99.88,99.9,55.14,0.72,14.72,11.3,6.89,0.16,9.12,1.67,0.19,0.08,100,9.94,54.74,1.82,0.116564,0.753447,0.962238,,,,,,602,,0.6,,0.6,0.1,78,4.7,110.8,5,3.7,1,3.1,,65.9,1.8,19.3,13.8,9.5,19,2.41,9.89,2.59,0.82,2.56,0.42,2.81,0.6,1.83,,1.89,0.26,31,63,232,,243,129,113,1.8,1.6,1.4,4196.5
2004967000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.02611,122.07527,unknown,,,,high-Mg basalt,,54.24,0.73,14.26,10.21,6.66,0.16,7.34,4.32,0.15,0.1,0.02,2.53,,98.17,100.7,100.72,55.25,0.74,14.53,10.4,6.78,0.16,7.48,4.4,0.15,0.1,100,9.19,56.39,4.47,0.034722,0.691925,0.934543,,,,,,606,,1.1,1,0.6,0.1,81,2.2,141.5,4,1.5,0.3,2.7,0.1,78.9,2,23.2,15.4,8.6,18.4,2.34,10.79,2.97,0.898,2.82,0.48,3.28,0.67,2.12,,1.8,0.25,29,79,220,,253,61,89,3.4,2.3,1.5,4376.35
2003969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.810184,121.819127,unknown,,,,komatiitic basalt,,50.65,0.63,13.9,11.41,8.59,0.17,11.16,1.97,0.19,0.05,,1.92,,98.72,100.64,100.64,51.31,0.64,14.08,11.56,8.7,0.17,11.3,2,0.19,0.05,100,10.27,59.88,2.16,0.096447,0.585773,1.189439,,,,,,348,,,8.8,0.4,0.3,96,5.3,106.3,4.1,1.2,0.3,1.8,0.1,32,1.1,14.4,15.2,5.6,11,,6.62,1.93,0.796,2.15,0.38,2.42,0.5,1.57,,1.48,0.24,37,94,242,,518,118,117,0.9,0.6,1.6,3776.85
2004969000,Basalt,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-31.058886,121.910723,unknown,,,,med-coarse pyroxenite?,,52.29,0.31,8.14,11.23,17.37,0.2,7.02,0.6,0.04,0.03,0.03,2.47,,97.23,99.7,99.73,53.78,0.32,8.37,11.55,17.86,0.21,7.22,0.62,0.04,0.03,100,10.1,75.43,0.64,0.066667,0.590328,0.954711,,,,,,457,,0.5,,0.2,0.1,,1.4,13.8,3,1.2,0.2,1,,21.8,0.7,8.5,7.3,4,6.2,0.97,4.03,1.02,0.322,1.02,0.18,1.19,0.24,0.8,,0.82,0.13,31,245,152,,1643,60,78,0.3,2.6,1.6,1858.45
2003969000,Dolerite,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.85816,121.906778,unknown,,,,dolerite,,47.51,2.14,11.78,21.14,5.66,0.23,9,2,0.27,0.09,,1.52,,99.82,101.34,101.34,47.6,2.14,11.8,21.18,5.67,0.23,9.02,2,0.27,0.09,100,19.02,34.67,2.27,0.135,0.590786,1.055628,,,,,,,,0.7,1.6,0.2,0.1,,1.7,102.4,1.9,0.2,0.2,2.2,0.1,50,1.8,19.7,19.6,2.7,7.4,,6.98,2.26,0.914,3.1,0.58,3.91,0.8,2.59,,2.45,0.4,48,29,1073,,4,292,69,1,1.2,1.7,12829.3
2004969000,Dolerite,External,Geoscience Australia,AMIRA-P763,Kalgoorlie-Kambalda Strat,-30.753632,121.805137,unknown,,,,gabbro?,,50.2,0.25,15.01,7.39,10.78,0.14,10.34,0.8,2.57,0.02,0.01,2.12,,97.5,99.62,99.63,51.49,0.26,15.39,7.58,11.06,0.14,10.61,0.82,2.64,0.02,100,6.65,74.32,3.37,3.2125,0.655734,1.03409,,,,,,272,,,0.9,0.2,0.2,1532,56.7,235.6,2,0.2,,0.4,,13.3,0.4,8.9,10.3,2.7,2.9,0.44,2.13,0.95,0.319,0.91,0.15,1.14,0.24,0.76,,0.75,0.11,35,281,155,,968,98,44,0.7,1.4,1.7,1498.75
